chain,contract_address,hardcoded_manager,ever_drained_by_mgr,ever_blacklisted_by_mgr,notes
polygon,0x164715d8cbae6244984a51d732533bf50f528a0c,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1704b4e49ce6e9d61e2f47ca3be0ded3a91f3b0c,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x172f5c3d847933de25f43c7036dbdaee176a35fa,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x175dbc61226c26de92a5b8691f20f0139af3856e,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x177c481bcca1e7b848bdb240392c2982a7060b92,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1814de526717c3b985c863e34ad292c843dc6dc1,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1857270329f5e8f42174e05d7f328ff9de454c1a,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x188b131c76ab7e2c14a08a19f9a63a9a4994ede8,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x19b8a8eab7181f53458377c757768eb34d3ff895,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1b18568fe3ed609fca2f5a430847e174799831cb,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1b1c29cedbbc111051657f4c6cd138f53b789b86,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1c4e767b2d9c7d6d13ab7bd44708fafe8c68d78c,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1d5ccbca2464f402aa8405adc33fd2369d79e21c,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1e256dc96afac47df62250bb1f57d55534a3b342,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1e94278463f537e5c0c93bbc4cd72d1f036d874b,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1e9540a34f19a4a9106fb843b2ff8681a4b555cb,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1ed7e7016c14bc6e80430eaa3bd2962e873fab25,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1ef3072df8e6e413643598ae87e1a9b2ad4125b4,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1f0f6288e1b4c666eaefb7ddf763bdba9e3f54d1,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
polygon,0x1f4a08e62f030dd0bf7a09d2a683a020c0abc4e5,0xbfd4a51c9f4c5b8109bdd462c8a57a5d268be3d0,False,True,same template family as avalanche; single-key architecture
